Arsenal,ARS,#EF0107,Emirates Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,AVL,#95BFE5,Villa Park,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Bournemouth,BOU,#C91318,Vitality Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
Brentford,BRE,#E30613,Brentford Community Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Brighton,BRI,#005DAA,Amex Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Chelsea,CHE,#034694,Stamford Bridge,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,CRY,#1B458F,Selhurst Park,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,EVE,#003399,Goodison Park,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Fulham,FUL,#000000,Craven Cottage,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
Leeds,LEE,#FFCD00,Elland Road,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Leicester,LEI,#FDBE11,King Power Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,LIV,#00A398,Anfield,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Man City,MNC,#6CABDD,Etihad Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Man United,MNU,#DA291C,Old Trafford,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Newcastle,NEW,#41B6E6,St James' Park,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Nottm Forest,NFC,#DD0000,City Ground,https://a.espncdn.com/i/teamlogos/soccer/500/393.png
Southampton,SOU,#ed1a3b,Saint Mary's,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Tottenham,TOT,#0A1C56,Tottenham Hotspur Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
West Ham,WHM,#7A263A,London Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolves,WOL,#FDB913,Molineux Stadium,https://a.espncdn.com/i/teamlogos/soccer/500/380.png